time_seconds,active_workers,occupied_cells,entropy_bits,entropy_normalized,max_concentration,congested_cells,workers_in_shared_cells,excess_workers,method,timestamp
460.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:40
465.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:45
470.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:50
475.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:55
480.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:00
485.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:05
490.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:10
495.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:15
500.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:20
505.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:25
510.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:30
515.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:35
520.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:40
525.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:45
530.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:50
535.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:50:55
540.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:00
545.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:05
550.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:10
555.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:15
560.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:20
565.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:25
570.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:30
575.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:35
580.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:40
585.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:45
590.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:50
595.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:51:55
600.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:00
605.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:05
610.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:10
615.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:15
620.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:20
625.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:25
630.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:30
635.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:35
640.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:40
645.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:45
650.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:50
655.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:52:55
660.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:00
665.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:05
670.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:10
675.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:15
680.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:20
