method,resource_kind,resource_id,conflicts,affected_workers,total_wait_seconds,mean_wait_seconds,max_wait_seconds
equal,edge,SUP:CC-05<->SUP:CC-06,11,5,4.466666666718609,0.4060606060653281,0.7333333333481278
equal,edge,SUP:CC-06<->SUP:CC-07,6,4,1.6333333333602837,0.27222222222671394,0.61666666666639
equal,edge,SUP:CC-07<->SUP:CC-08,17,7,13.825000000002206,0.8132352941177768,1.5
equal,edge,SUP:CC-08<->SUP:CC-09,15,5,12.383333333309167,0.8255555555539444,1.5
equal,edge,SUP:CC-09<->SUP:CC-10,10,5,2.6000000000044707,0.2600000000004471,0.5499999999956344
equal,edge,SUP:CC-10<->SUP:CC-11,4,3,0.8333333333599597,0.20833333333998993,0.36666666668315884
equal,edge,SUP:CC-11<->SUP:CC-12,4,3,1.7000000000066393,0.42500000000165983,0.7000000000002728
equal,edge,SUP:CC-12<->SUP:CC-13,8,5,3.0999999999986585,0.3874999999998323,0.6666666666660603
equal,edge,SUP:CC-13<->SUP:CC-14,5,4,2.5083333333348747,0.5016666666669749,0.7000000000005002
equal,edge,SUP:CC-14<->SUP:CC-15,3,3,0.9333333333274823,0.31111111110916073,0.5
equal,edge,SUP:CC-15<->SUP:CC-16,1,1,0.22499999999797637,0.22499999999797637,0.22499999999797637
equal,pick_node,AISLE:x=0.860000:y=9.310000,1,1,1.8250000000001592,1.8250000000001592,1.8250000000001592
equal,pick_node,AISLE:x=2.360000:y=9.310000,1,1,1.8333333333332575,1.8333333333332575,1.8333333333332575
equal,pick_node,AISLE:x=2.680000:y=10.210000,2,2,6.0,3.0,3.0
equal,pick_node,AISLE:x=2.680000:y=9.310000,2,2,4.316666666666578,2.158333333333289,3.0
equal,pick_node,AISLE:x=2.860000:y=10.210000,3,2,8.183333333337941,2.727777777779314,3.0
equal,pick_node,AISLE:x=2.860000:y=8.410000,3,2,7.399999999999636,2.4666666666665455,3.0
equal,pick_node,AISLE:x=3.180000:y=12.010000,2,2,5.75833333333469,2.879166666667345,3.0
equal,pick_node,AISLE:x=3.180000:y=8.410000,4,2,10.699999999999818,2.6749999999999545,3.0
equal,pick_node,AISLE:x=3.680000:y=12.010000,3,3,6.133333333329965,2.0444444444433216,3.0
equal,pick_node,AISLE:x=4.340000:y=11.110000,3,2,7.2666666666737,2.422222222224567,3.0
equal,pick_node,AISLE:x=4.340000:y=8.410000,1,1,2.25,2.25,2.25
equal,pick_node,AISLE:x=4.660000:y=12.010000,3,2,6.866666666666646,2.288888888888882,3.0
equal,pick_node,AISLE:x=5.160000:y=11.110000,1,1,0.13333333333343944,0.13333333333343944,0.13333333333343944
equal,pick_node,AISLE:x=5.840000:y=11.110000,1,1,2.866666666666788,2.866666666666788,2.866666666666788
equal,pick_node,AISLE:x=6.000000:y=11.110000,1,1,2.7333333333333485,2.7333333333333485,2.7333333333333485
equal,pick_node,AISLE:x=6.160000:y=11.110000,1,1,2.3166666666875244,2.3166666666875244,2.3166666666875244
equal,pick_node,AISLE:x=6.160000:y=8.410000,3,2,6.5666666666693345,2.188888888889778,3.0
equal,pick_node,AISLE:x=6.500000:y=11.110000,12,3,45.81666666666683,3.8180555555555693,6.0
equal,pick_node,AISLE:x=6.660000:y=11.110000,1,1,0.1499999999978172,0.1499999999978172,0.1499999999978172
equal,pick_node,AISLE:x=6.660000:y=7.510000,1,1,1.716666666667038,1.716666666667038,1.716666666667038
volume_proportional,edge,AISLE:x=0.860000:y=9.310000<->SUP:LC-11,2,2,0.13333333333005726,0.06666666666502863,0.09999999999672582
volume_proportional,edge,AISLE:x=1.020000:y=11.110000<->AISLE:x=1.180000:y=11.110000,1,1,0.03333333333273458,0.03333333333273458,0.03333333333273458
volume_proportional,edge,AISLE:x=1.020000:y=9.310000<->AISLE:x=1.180000:y=9.310000,1,1,0.03333333333318933,0.03333333333318933,0.03333333333318933
volume_proportional,edge,AISLE:x=2.520000:y=10.210000<->AISLE:x=2.680000:y=10.210000,2,2,0.1499999999996362,0.0749999999998181,0.13333333333321207
volume_proportional,edge,AISLE:x=2.680000:y=6.310000<->AISLE:x=2.860000:y=6.310000,1,1,0.03333333333330302,0.03333333333330302,0.03333333333330302
volume_proportional,edge,AISLE:x=2.860000:y=10.210000<->AISLE:x=3.020000:y=10.210000,1,1,0.13333333333321207,0.13333333333321207,0.13333333333321207
