target,feature,importance,importance_normalized
congestion_wait_seconds,microzone_concentration_Z04,0.004694535478929041,0.004694535478929041
congestion_wait_seconds,microzone_concentration_Z03,0.004067492616835407,0.004067492616835407
congestion_wait_seconds,microzone_concentration_Z02,0.003873089322909242,0.003873089322909242
congestion_wait_seconds,workload_share_Z01,0.0025567639773122195,0.0025567639773122195
congestion_wait_seconds,max_workload_share,0.002481065157705587,0.002481065157705587
congestion_wait_seconds,effective_workers,0.002283237201138297,0.002283237201138297
congestion_wait_seconds,observed_workers,0.00211822208465816,0.00211822208465816
congestion_wait_seconds,active_zones,0.0001336863328727057,0.0001336863328727057
mean_flow_time_seconds,tasks_per_worker,0.33904846034732755,0.3390484603473275
mean_flow_time_seconds,units_per_worker,0.27557859429318476,0.2755785942931847
mean_flow_time_seconds,D_demand_mismatch,0.12862377440643158,0.12862377440643155
mean_flow_time_seconds,pick_tasks,0.03754477424466847,0.03754477424466846
mean_flow_time_seconds,moved_workers_from_volume,0.034411504557725514,0.03441150455772551
mean_flow_time_seconds,picked_units,0.03316147950068524,0.03316147950068523
mean_flow_time_seconds,workload_share_Z04,0.01873113680937998,0.018731136809379975
mean_flow_time_seconds,weighted_microzone_concentration,0.011688429089912637,0.011688429089912635
mean_flow_time_seconds,workload_share_Z02,0.0105572341631515,0.010557234163151498
mean_flow_time_seconds,microzone_concentration_Z03,0.010125050538692306,0.010125050538692304
mean_flow_time_seconds,microzone_concentration_Z02,0.009432475123340155,0.009432475123340153
mean_flow_time_seconds,max_workload_share,0.008498737558083488,0.008498737558083487
mean_flow_time_seconds,worker_concentration_pair,0.008229359770543485,0.008229359770543484
mean_flow_time_seconds,R_congestion_risk,0.007958654155828221,0.00795865415582822
mean_flow_time_seconds,workload_share_Z03,0.006897743330442112,0.00689774333044211
mean_flow_time_seconds,worker_share_Z04,0.006516303445144206,0.006516303445144205
mean_flow_time_seconds,picking_lists,0.006473483546109396,0.006473483546109394
mean_flow_time_seconds,workload_share_Z01,0.006398547826270621,0.006398547826270619
mean_flow_time_seconds,macro_workload_entropy_normalized,0.00556838250307217,0.005568382503072169
mean_flow_time_seconds,workers_Z04,0.005450967187993496,0.005450967187993495
mean_flow_time_seconds,microzone_concentration_Z01,0.004924462741610053,0.004924462741610052
mean_flow_time_seconds,microzone_concentration_Z04,0.004203193315098614,0.004203193315098613
mean_flow_time_seconds,worker_share_Z01,0.003925794984169228,0.003925794984169227
mean_flow_time_seconds,worker_share_Z03,0.0035364116100850378,0.003536411610085037
mean_flow_time_seconds,workers_Z03,0.0030245669304882253,0.0030245669304882245
