entropy_weight,metric,direction,n_dates,mean,std,median,min,max
0.75,mean_spatial_entropy_normalized,maximize,92,0.8130467380967648,0.14305739293225236,0.8450420655155961,0.42387156789660174,0.9923878172184759
1.0,mean_flow_time_seconds,minimize,92,443.46788417073975,258.73342707998694,372.85892379920955,145.71864285715367,1600.0943483334484
1.0,makespan_seconds,minimize,92,13726.580965579793,11536.526931955364,14227.155749999985,601.8706666666623,43905.37566666673
1.0,congestion_wait_seconds,minimize,92,326.7718695652184,484.75251566214064,187.2501666666985,20.12983333333348,2902.1454999984667
1.0,congestion_conflicts,minimize,92,145.34782608695653,140.23100523916602,99.5,19.0,880.0
1.0,total_distance_m,minimize,92,3885.9211521739085,1964.9008412537705,3542.233199999994,931.4688000000002,12250.927999999765
1.0,mean_release_delay_seconds,minimize,92,308.36308148678074,257.08623513524174,245.4108874306475,12.771619047621284,1464.683087500088
1.0,mean_spatial_entropy_normalized,maximize,92,0.8105971135295349,0.14547112221321593,0.8437888888400913,0.42387156789660174,0.9923878172184759
2.0,mean_flow_time_seconds,minimize,92,446.44086675996596,259.9107264704262,389.31500817384176,145.71864285715367,1600.0943483334484
2.0,makespan_seconds,minimize,92,13754.884284420377,11534.546563916878,14209.815499999992,601.8706666666623,43905.37566666673
2.0,congestion_wait_seconds,minimize,92,326.0344275362283,486.5302757722337,168.89133333333086,20.12983333333348,2902.1454999984667
2.0,congestion_conflicts,minimize,92,144.5108695652174,139.43271996571588,96.5,19.0,880.0
2.0,total_distance_m,minimize,92,3885.921152173911,1964.9008412537744,3542.233199999994,931.4688000000002,12250.927999999765
2.0,mean_release_delay_seconds,minimize,92,311.3599371128106,258.24912089733436,252.8556251430187,12.771619047621284,1464.683087500088
2.0,mean_spatial_entropy_normalized,maximize,92,0.7985082687862809,0.15671317515181216,0.8342553701943828,0.42387156789660174,0.9923878172184759
4.0,mean_flow_time_seconds,minimize,92,456.884572990309,264.3688717280314,389.31500817384176,152.50076190476915,1600.0943483334484
4.0,makespan_seconds,minimize,92,13822.783019927623,11481.396972443337,14243.252666666664,650.6099999999956,43905.37566666673
4.0,congestion_wait_seconds,minimize,92,324.3743822463739,483.4087887772053,168.89133333333086,20.12983333333348,2902.1454999984667
4.0,congestion_conflicts,minimize,92,143.17391304347825,139.77726463054267,99.5,19.0,880.0
4.0,total_distance_m,minimize,92,3885.9211521739135,1964.900841253778,3542.233199999994,931.4688000000002,12250.927999999765
4.0,mean_release_delay_seconds,minimize,92,321.842367674268,262.5763817498376,253.26423389536848,18.623272727275353,1464.683087500088
4.0,mean_spatial_entropy_normalized,maximize,92,0.7937531668662684,0.16141511301107447,0.8444876407763445,0.37079525548410286,0.9923878172184759
8.0,mean_flow_time_seconds,minimize,92,464.5774179742172,264.69653934217416,398.41743167249194,152.50076190476915,1600.0943483334484
8.0,makespan_seconds,minimize,92,13866.981702898647,11463.6081973035,14243.252666666664,650.6099999999956,43905.37566666673
8.0,congestion_wait_seconds,minimize,92,319.0558079710144,483.0347802613957,167.37916666667508,20.12983333333348,2902.1454999984667
8.0,congestion_conflicts,minimize,92,140.44565217391303,137.78804906233762,99.5,19.0,880.0
8.0,total_distance_m,minimize,92,3885.921152173915,1964.900841253783,3542.233199999994,931.4688000000002,12250.927999999765
8.0,mean_release_delay_seconds,minimize,92,329.65675933089204,262.79758169297264,270.86370128205226,18.623272727275353,1464.683087500088
8.0,mean_spatial_entropy_normalized,maximize,92,0.78102375219695,0.17151333519268777,0.8444876407763445,0.37079525548410286,0.9923878172184759
