cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers,entropy_weight,allocation_id
EDGE:AISLE:x=1.860000:y=8.410000<->AISLE:x=2.020000:y=8.410000,edge,27,7,3.5999999999992696,3.5999999999992696,0.0,0.0,3.5999999999992696,0.0,1,0.0,A001
EDGE:AISLE:x=1.860000:y=9.310000<->AISLE:x=2.020000:y=9.310000,edge,28,7,3.7333333333316716,3.7333333333316716,0.0,0.0,3.7333333333316716,0.0,1,0.0,A001
EDGE:AISLE:x=2.020000:y=10.210000<->AISLE:x=2.180000:y=10.210000,edge,24,7,3.1999999999985675,3.1999999999985675,0.0,0.0,3.1999999999985675,0.0,1,0.0,A001
EDGE:AISLE:x=2.020000:y=11.110000<->AISLE:x=2.180000:y=11.110000,edge,31,8,4.133333333331365,4.133333333331365,0.0,0.0,4.133333333331365,0.0,1,0.0,A001
EDGE:AISLE:x=2.020000:y=12.010000<->AISLE:x=2.180000:y=12.010000,edge,20,5,2.666666666665961,2.666666666665961,0.0,0.0,2.666666666665961,0.0,1,0.0,A001
EDGE:AISLE:x=2.020000:y=12.910000<->AISLE:x=2.180000:y=12.910000,edge,25,8,3.3333333333326323,3.3333333333326323,0.0,0.0,3.3333333333326323,0.0,1,0.0,A001
EDGE:AISLE:x=2.020000:y=13.810000<->AISLE:x=2.180000:y=13.810000,edge,17,7,2.2666666666655146,2.2666666666655146,0.0,0.0,2.2666666666655146,0.0,1,0.0,A001
EDGE:AISLE:x=2.020000:y=6.310000<->AISLE:x=2.180000:y=6.310000,edge,20,6,2.6666666666660817,2.6666666666660817,0.0,0.0,2.6666666666660817,0.0,1,0.0,A001
EDGE:AISLE:x=2.020000:y=7.510000<->AISLE:x=2.180000:y=7.510000,edge,14,8,1.86666666666531,1.86666666666531,0.0,0.0,1.86666666666531,0.0,1,0.0,A001
EDGE:AISLE:x=2.020000:y=8.410000<->AISLE:x=2.180000:y=8.410000,edge,29,7,3.8666666666659246,3.8666666666659246,0.0,0.0,3.8666666666659246,0.0,1,0.0,A001
EDGE:AISLE:x=2.020000:y=9.310000<->AISLE:x=2.180000:y=9.310000,edge,34,7,4.533333333330944,4.533333333330944,0.0,0.0,4.533333333330944,0.0,1,0.0,A001
EDGE:AISLE:x=2.180000:y=10.210000<->AISLE:x=2.360000:y=10.210000,edge,32,7,4.799999999994412,4.799999999994412,0.0,0.0,4.799999999994412,0.0,1,0.0,A001
EDGE:AISLE:x=2.180000:y=11.110000<->AISLE:x=2.360000:y=11.110000,edge,29,8,4.349999999994054,4.349999999994054,0.0,0.0,4.349999999994054,0.0,1,0.0,A001
EDGE:AISLE:x=2.180000:y=12.010000<->AISLE:x=2.360000:y=12.010000,edge,18,5,2.699999999998653,2.699999999998653,0.0,0.0,2.699999999998653,0.0,1,0.0,A001
EDGE:AISLE:x=2.180000:y=12.910000<->AISLE:x=2.360000:y=12.910000,edge,25,8,3.7499999999977405,3.7499999999977405,0.0,0.0,3.7499999999977405,0.0,1,0.0,A001
EDGE:AISLE:x=2.180000:y=13.810000<->AISLE:x=2.360000:y=13.810000,edge,17,7,2.5499999999966008,2.5499999999966008,0.0,0.0,2.5499999999966008,0.0,1,0.0,A001
EDGE:AISLE:x=2.180000:y=6.310000<->AISLE:x=2.360000:y=6.310000,edge,20,6,2.9999999999984155,2.9999999999984155,0.0,0.0,2.9999999999984155,0.0,1,0.0,A001
EDGE:AISLE:x=2.180000:y=7.510000<->AISLE:x=2.360000:y=7.510000,edge,18,8,2.699999999995242,2.699999999995242,0.0,0.0,2.699999999995242,0.0,1,0.0,A001
EDGE:AISLE:x=2.180000:y=8.410000<->AISLE:x=2.360000:y=8.410000,edge,29,7,4.349999999997209,4.349999999997209,0.0,0.0,4.349999999997209,0.0,1,0.0,A001
EDGE:AISLE:x=2.180000:y=9.310000<->AISLE:x=2.360000:y=9.310000,edge,38,7,5.699999999990808,5.699999999990808,0.0,0.0,5.699999999990808,0.0,1,0.0,A001
EDGE:AISLE:x=2.360000:y=10.210000<->AISLE:x=2.520000:y=10.210000,edge,34,7,4.533333333331143,4.533333333331143,0.0,0.0,4.533333333331143,0.0,1,0.0,A001
EDGE:AISLE:x=2.360000:y=11.110000<->AISLE:x=2.520000:y=11.110000,edge,31,8,4.133333333330867,4.133333333330867,0.0,0.0,4.133333333330867,0.0,1,0.0,A001
EDGE:AISLE:x=2.360000:y=12.010000<->AISLE:x=2.520000:y=12.010000,edge,18,5,2.3999999999995367,2.3999999999995367,0.0,0.0,2.3999999999995367,0.0,1,0.0,A001
EDGE:AISLE:x=2.360000:y=12.910000<->AISLE:x=2.520000:y=12.910000,edge,27,8,3.5999999999992838,3.5999999999992838,0.0,0.0,3.5999999999992838,0.0,1,0.0,A001
EDGE:AISLE:x=2.360000:y=13.810000<->AISLE:x=2.520000:y=13.810000,edge,21,7,2.7999999999986187,2.7999999999986187,0.0,0.0,2.7999999999986187,0.0,1,0.0,A001
EDGE:AISLE:x=2.360000:y=6.310000<->AISLE:x=2.520000:y=6.310000,edge,20,6,2.6666666666660817,2.6666666666660817,0.0,0.0,2.6666666666660817,0.0,1,0.0,A001
EDGE:AISLE:x=2.360000:y=7.510000<->AISLE:x=2.520000:y=7.510000,edge,18,8,2.399999999998414,2.399999999998414,0.0,0.0,2.399999999998414,0.0,1,0.0,A001
EDGE:AISLE:x=2.360000:y=8.410000<->AISLE:x=2.520000:y=8.410000,edge,31,8,4.133333333332345,4.133333333332345,0.0,0.0,4.133333333332345,0.0,1,0.0,A001
EDGE:AISLE:x=2.360000:y=9.310000<->AISLE:x=2.520000:y=9.310000,edge,48,7,6.399999999996169,6.399999999996169,0.0,0.0,6.399999999996169,0.0,1,0.0,A001
EDGE:AISLE:x=2.520000:y=10.210000<->AISLE:x=2.680000:y=10.210000,edge,44,7,5.866666666663491,5.866666666663491,0.0,0.0,5.866666666663491,0.0,1,0.0,A001
EDGE:AISLE:x=2.520000:y=11.110000<->AISLE:x=2.680000:y=11.110000,edge,29,8,3.866666666664443,3.866666666664443,0.0,0.0,3.866666666664443,0.0,1,0.0,A001
EDGE:AISLE:x=2.520000:y=12.010000<->AISLE:x=2.680000:y=12.010000,edge,22,5,2.9333333333326124,2.9333333333326124,0.0,0.0,2.9333333333326124,0.0,1,0.0,A001
EDGE:AISLE:x=2.520000:y=12.910000<->AISLE:x=2.680000:y=12.910000,edge,29,8,3.8666666666659353,3.8666666666659353,0.0,0.0,3.8666666666659353,0.0,1,0.0,A001
EDGE:AISLE:x=2.520000:y=13.810000<->AISLE:x=2.680000:y=13.810000,edge,21,7,2.7999999999986187,2.7999999999986187,0.0,0.0,2.7999999999986187,0.0,1,0.0,A001
EDGE:AISLE:x=2.520000:y=6.310000<->AISLE:x=2.680000:y=6.310000,edge,22,7,2.9333333333327474,2.9333333333327474,0.0,0.0,2.9333333333327474,0.0,1,0.0,A001
EDGE:AISLE:x=2.520000:y=7.510000<->AISLE:x=2.680000:y=7.510000,edge,18,8,2.399999999998414,2.399999999998414,0.0,0.0,2.399999999998414,0.0,1,0.0,A001
EDGE:AISLE:x=2.520000:y=8.410000<->AISLE:x=2.680000:y=8.410000,edge,31,8,4.133333333332345,4.133333333332345,0.0,0.0,4.133333333332345,0.0,1,0.0,A001
EDGE:AISLE:x=2.520000:y=9.310000<->AISLE:x=2.680000:y=9.310000,edge,52,7,6.933333333329472,6.933333333329472,0.0,0.0,6.933333333329472,0.0,1,0.0,A001
EDGE:AISLE:x=2.680000:y=10.210000<->AISLE:x=2.860000:y=10.210000,edge,48,7,7.199999999989956,7.199999999989956,0.0,0.0,7.199999999989956,0.0,1,0.0,A001
EDGE:AISLE:x=2.680000:y=11.110000<->AISLE:x=2.860000:y=11.110000,edge,35,8,5.249999999992639,5.249999999992639,0.0,0.0,5.249999999992639,0.0,1,0.0,A001
EDGE:AISLE:x=2.680000:y=12.010000<->AISLE:x=2.860000:y=12.010000,edge,24,5,3.59999999999787,3.59999999999787,0.0,0.0,3.59999999999787,0.0,1,0.0,A001
EDGE:AISLE:x=2.680000:y=12.910000<->AISLE:x=2.860000:y=12.910000,edge,29,8,4.3499999999976495,4.3499999999976495,0.0,0.0,4.3499999999976495,0.0,1,0.0,A001
EDGE:AISLE:x=2.680000:y=13.810000<->AISLE:x=2.860000:y=13.810000,edge,21,7,3.1499999999958845,3.1499999999958845,0.0,0.0,3.1499999999958845,0.0,1,0.0,A001
EDGE:AISLE:x=2.680000:y=6.310000<->AISLE:x=2.860000:y=6.310000,edge,22,7,3.2999999999984126,3.2999999999984126,0.0,0.0,3.2999999999984126,0.0,1,0.0,A001
EDGE:AISLE:x=2.680000:y=7.510000<->AISLE:x=2.860000:y=7.510000,edge,22,8,3.299999999993787,3.299999999993787,0.0,0.0,3.299999999993787,0.0,1,0.0,A001
EDGE:AISLE:x=2.680000:y=8.410000<->AISLE:x=2.860000:y=8.410000,edge,37,8,5.549999999994981,5.549999999994981,0.0,0.0,5.549999999994981,0.0,1,0.0,A001
EDGE:AISLE:x=2.680000:y=9.310000<->AISLE:x=2.860000:y=9.310000,edge,50,7,7.499999999988546,7.499999999988546,0.0,0.0,7.499999999988546,0.0,1,0.0,A001
