selected_date,entropy_weight,allocation_id,zone_id,workload,workload_share,workers,worker_share
2023-01-10,2.0,A002,Z02,0.0,0.0,0,0.0
2023-01-10,2.0,A002,Z03,1016.0,0.7673716012084593,5,0.625
2023-01-10,2.0,A002,Z04,308.0,0.2326283987915408,3,0.375
2023-01-10,4.0,A003,Z01,0.0,0.0,0,0.0
2023-01-10,4.0,A003,Z02,0.0,0.0,0,0.0
2023-01-10,4.0,A003,Z03,1016.0,0.7673716012084593,4,0.5
2023-01-10,4.0,A003,Z04,308.0,0.2326283987915408,4,0.5
2023-01-10,8.0,A003,Z01,0.0,0.0,0,0.0
2023-01-10,8.0,A003,Z02,0.0,0.0,0,0.0
2023-01-10,8.0,A003,Z03,1016.0,0.7673716012084593,4,0.5
2023-01-10,8.0,A003,Z04,308.0,0.2326283987915408,4,0.5
2023-01-11,0.0,A001,Z01,0.0,0.0,0,0.0
2023-01-11,0.0,A001,Z02,0.0,0.0,0,0.0
2023-01-11,0.0,A001,Z03,380.0,0.9595959595959596,7,0.875
2023-01-11,0.0,A001,Z04,16.0,0.04040404040404041,1,0.125
2023-01-11,0.05,A001,Z01,0.0,0.0,0,0.0
2023-01-11,0.05,A001,Z02,0.0,0.0,0,0.0
2023-01-11,0.05,A001,Z03,380.0,0.9595959595959596,7,0.875
2023-01-11,0.05,A001,Z04,16.0,0.04040404040404041,1,0.125
2023-01-11,0.1,A001,Z01,0.0,0.0,0,0.0
2023-01-11,0.1,A001,Z02,0.0,0.0,0,0.0
2023-01-11,0.1,A001,Z03,380.0,0.9595959595959596,7,0.875
2023-01-11,0.1,A001,Z04,16.0,0.04040404040404041,1,0.125
2023-01-11,0.25,A001,Z01,0.0,0.0,0,0.0
2023-01-11,0.25,A001,Z02,0.0,0.0,0,0.0
2023-01-11,0.25,A001,Z03,380.0,0.9595959595959596,7,0.875
2023-01-11,0.25,A001,Z04,16.0,0.04040404040404041,1,0.125
2023-01-11,0.5,A001,Z01,0.0,0.0,0,0.0
2023-01-11,0.5,A001,Z02,0.0,0.0,0,0.0
2023-01-11,0.5,A001,Z03,380.0,0.9595959595959596,7,0.875
2023-01-11,0.5,A001,Z04,16.0,0.04040404040404041,1,0.125
2023-01-11,0.75,A001,Z01,0.0,0.0,0,0.0
2023-01-11,0.75,A001,Z02,0.0,0.0,0,0.0
2023-01-11,0.75,A001,Z03,380.0,0.9595959595959596,7,0.875
2023-01-11,0.75,A001,Z04,16.0,0.04040404040404041,1,0.125
2023-01-11,1.0,A001,Z01,0.0,0.0,0,0.0
2023-01-11,1.0,A001,Z02,0.0,0.0,0,0.0
2023-01-11,1.0,A001,Z03,380.0,0.9595959595959596,7,0.875
2023-01-11,1.0,A001,Z04,16.0,0.04040404040404041,1,0.125
