selected_date,zone_id,workload,workload_share,microzone_concentration,microzone_entropy_normalized,volume_workers,entropy_workers,worker_delta_entropy_minus_volume,volume_worker_share,entropy_worker_share,volume_abs_demand_gap,entropy_abs_demand_gap,volume_pair_risk_contribution,entropy_pair_risk_contribution
2023-08-24,Z01,925.0,0.3338145073980512,0.1234045716912589,0.876595428308741,2,2,0,0.2857142857142857,0.2857142857142857,0.04810022168376549,0.04810022168376549,0.1234045716912589,0.1234045716912589
2023-08-24,Z02,498.0,0.17971851317214,0.2797868868178805,0.7202131131821194,1,1,0,0.14285714285714285,0.14285714285714285,0.036861370314997144,0.036861370314997144,0.0,0.0
2023-08-24,Z03,1197.0,0.4319740166005052,0.4756212173960825,0.5243787826039175,3,2,-1,0.42857142857142855,0.2857142857142857,0.0034025880290766697,0.14625973088621952,1.4268636521882474,0.4756212173960825
2023-08-24,Z04,151.0,0.0544929628293035,0.0121038470577918,0.987896152942208,1,2,1,0.14285714285714285,0.2857142857142857,0.08836418002783936,0.2312213228849822,0.0,0.0121038470577918
2023-09-25,Z01,415.0,0.2089627391742195,0.0192449189098805,0.9807550810901194,1,3,2,0.14285714285714285,0.42857142857142855,0.06610559631707666,0.21960868939720904,0.0,0.0577347567296415
2023-09-25,Z02,122.0,0.0614300100704934,0.2311160463804292,0.7688839536195707,1,1,0,0.14285714285714285,0.14285714285714285,0.08142713278664945,0.08142713278664945,0.0,0.0
2023-09-25,Z03,1281.0,0.6450151057401813,0.4970422979508068,0.5029577020491932,4,2,-2,0.5714285714285714,0.2857142857142857,0.07358653431160989,0.3593008200258956,2.982253787704841,0.4970422979508068
2023-09-25,Z04,168.0,0.0845921450151057,0.0619445827552465,0.9380554172447536,1,1,0,0.14285714285714285,0.14285714285714285,0.05826499784203715,0.05826499784203715,0.0,0.0
2023-10-05,Z01,1284.0,0.5563258232235702,0.0158093446161606,0.9841906553838392,3,4,1,0.42857142857142855,0.5714285714285714,0.1277543946521416,0.015102748205001237,0.04742803384848181,0.09485606769696361
2023-10-05,Z02,144.0,0.0623916811091854,0.1540634669164058,0.8459365330835942,1,1,0,0.14285714285714285,0.14285714285714285,0.08046546174795745,0.08046546174795745,0.0,0.0
2023-10-05,Z03,783.0,0.3392547660311958,0.1174778267008652,0.8825221732991347,2,1,-1,0.2857142857142857,0.14285714285714285,0.05354048031691011,0.19639762317405296,0.1174778267008652,0.0
2023-10-05,Z04,97.0,0.0420277296360485,0.0103945074404908,0.9896054925595092,1,1,0,0.14285714285714285,0.14285714285714285,0.10082941322109434,0.10082941322109434,0.0,0.0
2023-10-06,Z01,662.0,0.5308740978348035,0.016189130503174,0.983810869496826,2,3,1,0.3333333333333333,0.5,0.19754076450147023,0.03087409783480355,0.016189130503174,0.048567391509521995
2023-10-06,Z02,47.0,0.0376904570970328,0.1738981713665069,0.826101828633493,1,1,0,0.16666666666666666,0.16666666666666666,0.12897620956963385,0.12897620956963385,0.0,0.0
2023-10-06,Z03,488.0,0.3913392141138733,0.2266430915059729,0.773356908494027,2,1,-1,0.3333333333333333,0.16666666666666666,0.058005880780539976,0.22467254744720663,0.2266430915059729,0.0
2023-10-06,Z04,50.0,0.0400962309542902,0.0362873159080471,0.9637126840919528,1,1,0,0.16666666666666666,0.16666666666666666,0.12657043571237647,0.12657043571237647,0.0,0.0
