selected_date,method,entropy_weight,zone_id,side,support_labels,workload,workload_share,microzone_concentration,microzone_entropy_normalized,allocation_weight,pair_congestion_risk_contribution,workers,worker_share,D_demand_mismatch,R_congestion_risk,J_objective
2023-07-25,volume_proportional,,Z03,right,RC-08|RC-09|RC-10|RC-11|RC-12,332.0,0.5015105740181269,0.3447623148408425,0.6552376851591575,332.0,,2,0.4,,,
2023-07-25,volume_proportional,,Z04,right,RC-13|RC-14|RC-15|RC-16|RC-17,22.0,0.03323262839879154,0.255406805536193,0.744593194463807,22.0,,1,0.2,,,
2023-07-25,entropy_based,0.25,Z01,left,LC-08|LC-09|LC-10|LC-11|LC-12,276.0,0.4169184290030212,0.1336759645983645,0.8663240354016355,,0.1336759645983645,2,0.4,0.31842900302114807,0.1336759645983645,0.3518479941707392
2023-07-25,entropy_based,0.25,Z02,left,LC-13|LC-14|LC-15|LC-16|LC-17,32.0,0.04833836858006042,0.2691890624988442,0.7308109375011558,,0.0,1,0.2,0.31842900302114807,0.1336759645983645,0.3518479941707392
2023-07-25,entropy_based,0.25,Z03,right,RC-08|RC-09|RC-10|RC-11|RC-12,332.0,0.5015105740181269,0.3447623148408425,0.6552376851591575,,0.0,1,0.2,0.31842900302114807,0.1336759645983645,0.3518479941707392
2023-07-25,entropy_based,0.25,Z04,right,RC-13|RC-14|RC-15|RC-16|RC-17,22.0,0.03323262839879154,0.255406805536193,0.744593194463807,,0.0,1,0.2,0.31842900302114807,0.1336759645983645,0.3518479941707392
2023-07-26,random,,Z01,left,LC-08|LC-09|LC-10|LC-11|LC-12,165.0,0.3909952606635071,0.10738686377392392,0.8926131362260761,165.0,,2,0.2857142857142857,,,
2023-07-26,random,,Z02,left,LC-13|LC-14|LC-15|LC-16|LC-17,87.0,0.20616113744075829,0.265695650544699,0.734304349455301,87.0,,1,0.14285714285714285,,,
2023-07-26,random,,Z03,right,RC-08|RC-09|RC-10|RC-11|RC-12,126.0,0.2985781990521327,0.09776982118591859,0.9022301788140814,126.0,,3,0.42857142857142855,,,
2023-07-26,random,,Z04,right,RC-13|RC-14|RC-15|RC-16|RC-17,44.0,0.10426540284360189,0.19933737698505705,0.800662623014943,44.0,,1,0.14285714285714285,,,
2023-07-26,equal,,Z01,left,LC-08|LC-09|LC-10|LC-11|LC-12,165.0,0.3909952606635071,0.10738686377392392,0.8926131362260761,165.0,,2,0.2857142857142857,,,
2023-07-26,equal,,Z02,left,LC-13|LC-14|LC-15|LC-16|LC-17,87.0,0.20616113744075829,0.265695650544699,0.734304349455301,87.0,,2,0.2857142857142857,,,
2023-07-26,equal,,Z03,right,RC-08|RC-09|RC-10|RC-11|RC-12,126.0,0.2985781990521327,0.09776982118591859,0.9022301788140814,126.0,,2,0.2857142857142857,,,
2023-07-26,equal,,Z04,right,RC-13|RC-14|RC-15|RC-16|RC-17,44.0,0.10426540284360189,0.19933737698505705,0.800662623014943,44.0,,1,0.14285714285714285,,,
2023-07-26,volume_proportional,,Z01,left,LC-08|LC-09|LC-10|LC-11|LC-12,165.0,0.3909952606635071,0.10738686377392392,0.8926131362260761,165.0,,3,0.42857142857142855,,,
