selected_date,method,entropy_weight,worker_counts,entropy_reused_from,observed_workers,effective_workers,seed,total_workers,zones,active_zones,worker_allocation_entropy_normalized,demand_worker_l1_gap,picking_lists,pick_tasks,picked_units,total_distance_m,movement_events,movement_seconds,congestion_conflicts,edge_conflicts,pick_node_conflicts,congestion_wait_seconds,mean_conflict_wait_seconds,p95_conflict_wait_seconds,max_conflict_wait_seconds,congestion_delay_ratio,mean_release_delay_seconds,max_release_delay_seconds,mean_flow_time_seconds,makespan_seconds,entropy_samples,mean_spatial_entropy_normalized,mean_spatial_entropy_multiworker,min_spatial_entropy_normalized,max_spatial_entropy_normalized,mean_max_concentration,shared_worker_ratio,occupied_spatial_cells,congested_cell_seconds,max_cell_occupancy,simulation_elapsed_seconds
2023-09-05,random,,0|3|1|2,,6,6,42.0,6,4,3,0.7295739585136223,0.09994907053730583,58,1309,1309.0,2705.6400000000053,7822,2254.7000000000157,99,70,29,112.41666666666559,1.1355218855218747,3.0,3.75,0.04749097002682514,453.5109195402292,1536.8166666667064,562.0301724137927,1722.2166666667197,345,0.5578149272410209,0.9869033328110369,0.0,1.0,0.5471497584541063,0.02610759493670886,608,78.51666666666841,5,1722.2166666667197
2023-09-05,equal,,0|2|2|2,,6,6,42.0,6,4,3,0.792481250360578,0.10669722434428314,58,1309,1309.0,2705.6400000000262,7822,2254.700000000014,89,75,14,72.74999999999663,0.8174157303370408,3.0,3.75,0.03125738469139887,435.7448275862044,1184.383333333338,543.5801724137908,1316.2000000000146,264,0.98946914966902,0.99323138978183,0.0,1.0,0.2715909090909091,0.016733067729083666,609,38.1833333333322,5,1316.2000000000146
2023-09-05,volume_proportional,,0|3|1|2,,6,6,42.0,6,4,3,0.7295739585136223,0.09994907053730583,58,1309,1309.0,2705.6400000000053,7822,2254.7000000000157,99,70,29,112.41666666666559,1.1355218855218747,3.0,3.75,0.04749097002682514,453.5109195402292,1536.8166666667064,562.0301724137927,1722.2166666667197,345,0.5578149272410209,0.9869033328110369,0.0,1.0,0.5471497584541063,0.02610759493670886,608,78.51666666666841,5,1722.2166666667197
2023-09-05,entropy_based,0.05,0|2|2|2,equal,6,6,42.0,6,4,3,0.792481250360578,0.10669722434428314,58,1309,1309.0,2705.6400000000262,7822,2254.700000000014,89,75,14,72.74999999999663,0.8174157303370408,3.0,3.75,0.03125738469139887,435.7448275862044,1184.383333333338,543.5801724137908,1316.2000000000146,264,0.98946914966902,0.99323138978183,0.0,1.0,0.2715909090909091,0.016733067729083666,609,38.1833333333322,5,1316.2000000000146
2023-09-07,baseline,,,,6,6,,6,4,3,,,33,715,715.0,1457.3600000000094,4010,1214.4666666666656,40,32,8,37.64999999999953,0.9412499999999883,3.0,3.0,0.030069083019420108,347.91161616161327,943.599999999999,450.8545454545425,1240.8500000000122,249,0.8221688291286366,0.9889856930098093,0.0,1.0,0.45180722891566266,0.017518248175182483,525,22.266666666667106,3,1240.8500000000122
2023-09-07,random,,0|3|1|2,,6,6,42.0,6,4,3,0.7295739585136223,0.24032634032634032,33,715,715.0,1457.3599999999985,4010,1214.4666666666822,68,42,26,100.41666666666404,1.4767156862744713,3.0,5.533333333333303,0.07636925963012921,266.4656565656558,1124.5666666666812,371.31060606060566,1414.7333333333572,283,0.3803300227785885,0.9610124682708977,0.0,1.0,0.7114252061248527,0.054519368723098996,524,71.38333333333298,5,1414.7333333333572
2023-09-07,equal,,0|2|2|2,,6,6,42.0,6,4,3,0.792481250360578,0.19627039627039627,33,715,715.0,1457.360000000004,4010,1214.4666666666456,51,41,10,50.283333333331925,0.9859477124182731,3.0,3.0,0.03975752783817578,194.44949494949344,513.383333333329,297.7752525252503,779.733333333328,156,0.9698068641463925,0.988822685012008,0.0,1.0,0.2676282051282051,0.026277372262773723,525,27.183333333334133,4,779.733333333328
2023-09-07,volume_proportional,,0|3|2|1,,6,6,42.0,6,4,3,0.7295739585136224,0.07365967365967366,33,715,715.0,1457.3600000000022,4010,1214.4666666666465,82,49,33,115.73333333333264,1.4113821138211298,3.0,4.7333333333333485,0.08700446048213385,163.54292929292816,487.7499999999959,268.8520202020184,777.9166666666613,156,0.9516983086740206,0.9767430010075475,0.0,1.0,0.3125,0.06,530,86.36666666666673,5,777.9166666666613
2023-09-07,entropy_based,0.05,0|3|2|1,volume_proportional,6,6,42.0,6,4,3,0.7295739585136224,0.07365967365967366,33,715,715.0,1457.3600000000022,4010,1214.4666666666465,82,49,33,115.73333333333264,1.4113821138211298,3.0,4.7333333333333485,0.08700446048213385,163.54292929292816,487.7499999999959,268.8520202020184,777.9166666666613,156,0.9516983086740206,0.9767430010075475,0.0,1.0,0.3125,0.06,530,86.36666666666673,5,777.9166666666613
2023-09-10,baseline,,,,7,7,,7,4,3,,,39,968,968.0,1047.8200000000013,2042,873.1833333333312,133,31,102,325.73333333333363,2.449122807017546,3.0,4.5,0.2716897198860089,353.5927350427346,1071.7333333333327,458.795726495726,1165.9500000000025,234,0.7395293988542903,0.9354047531454266,0.0,1.0,0.4856837606837607,0.15272727272727274,124,303.23333333333335,6,1165.9500000000025
