codCustomer;orderNumber;orderToCollect;Reference;Size (US);quantity (units);creationDate;waveNumber;operator
C0000111            ;124399;4;Q50W5L;8;1;19/10/2023 07:16;43162;Operator_2
C0000111            ;124399;3;AHR20O;85;1;19/10/2023 07:16;43162;Operator_2
C0000111            ;124399;2;WRRW1W;9;3;19/10/2023 07:16;43162;Operator_2
C0000111            ;124399;1;WRRW1W;85;2;19/10/2023 07:16;43162;Operator_2
C0000079            ;124398;1;RAUDQ6;11;1;19/10/2023 07:16;43162;Operator_2
C0000076            ;124397;7;RAUDQ6;10;1;19/10/2023 07:16;43162;Operator_2
C0000076            ;124397;6;TNAHD4;13;1;19/10/2023 07:16;43162;Operator_2
C0000076            ;124397;5;TNAHD4;11;1;19/10/2023 07:16;43162;Operator_2
C0000076            ;124397;4;TNAHD4;105;1;19/10/2023 07:16;43162;Operator_2
C0000076            ;124397;3;TNAHD4;10;2;19/10/2023 07:16;43162;Operator_2
C0000076            ;124397;2;TNAHD4;9;1;19/10/2023 07:16;43162;Operator_2
C0000076            ;124397;1;TNAHD4;8;1;19/10/2023 07:16;43162;Operator_2
C0000017            ;124396;1;F7LULH;105;1;19/10/2023 07:16;43162;Operator_2
C0000011            ;124395;36;XUZJ74;85;2;19/10/2023 07:15;43161;Operator_1
C0000011            ;124395;35;XUZJ74;8;1;19/10/2023 07:15;43161;Operator_1
C0000011            ;124395;21;W25EZN;14;1;19/10/2023 07:15;43161;Operator_1
C0000011            ;124395;17;UHYJ3A;13;1;19/10/2023 07:15;43161;Operator_1
C0000011            ;124395;10;LXJQVG;14;1;19/10/2023 07:15;43161;Operator_1
C0000011            ;124395;5;WRRW1W;12;5;19/10/2023 07:15;43161;Operator_1
C0000011            ;124395;33;TBCCF7;12;1;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;32;TBCCF7;11;3;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;31;TBCCF7;10;4;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;30;TBCCF7;95;3;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;29;TBCCF7;9;2;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;28;J3FI7N;12;1;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;27;J3FI7N;11;3;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;24;NM6C73;12;1;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;23;IJBSQT;9;1;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;22;NISP6K;12;1;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;16;UHYJ3A;11;1;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;15;UHYJ3A;9;1;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;3;FQ53YY;10;1;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;1;O9YFO8;12;1;19/10/2023 07:15;43160;Operator_3
C0000011            ;124395;34;8N10W9;7;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;26;2T1DJM;75;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;25;5HQR89;85;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;20;W25EZN;8;2;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;19;W25EZN;75;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;18;W25EZN;7;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;14;KTDZY0;65;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;13;AKP0A7;75;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;12;AKP0A7;7;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;11;V7JUQL;75;2;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;9;LXJQVG;75;3;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;8;ZGYCSW;9;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;7;ZGYCSW;85;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;6;ZGYCSW;7;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;4;WRRW1W;6;3;19/10/2023 07:15;43159;Operator_1
C0000011            ;124395;2;FQ53YY;8;1;19/10/2023 07:15;43159;Operator_1
C0000011            ;124394;1;NM6C73;12;1;19/10/2023 07:15;43159;Operator_1
C0000009            ;124393;1;Y813MQ;85;1;19/10/2023 07:15;43159;Operator_1
C0000004            ;124392;1;B24J86;95;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;85;7BU1V7;13;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;84;7BU1V7;12;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;83;7BU1V7;11;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;82;7BU1V7;105;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;81;7BU1V7;10;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;80;XUZJ74;14;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;79;XUZJ74;13;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;78;XUZJ74;12;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;77;XUZJ74;11;2;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;76;XUZJ74;105;2;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;75;XUZJ74;95;2;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;74;SMMRK3;13;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;73;SMMRK3;12;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;72;SMMRK3;11;2;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;71;SMMRK3;105;2;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;70;SMMRK3;10;2;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;69;SMMRK3;85;1;19/10/2023 07:15;43158;Operator_2
C0000002            ;124391;69;SMMRK3;85;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;68;8N10W9;13;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;67;8N10W9;12;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;57;J3FI7N;13;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;56;J3FI7N;12;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;55;J3FI7N;11;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;49;KTDZY0;13;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;48;KTDZY0;11;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;47;AKP0A7;11;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;40;8D9SAW;12;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;39;8D9SAW;11;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;35;V7JUQL;13;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;33;DGAONE;13;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;32;Z8KPP8;12;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;31;EUMBM7;11;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;22;WRRW1W;11;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;16;TNAHD4;13;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;15;TNAHD4;12;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;14;TNAHD4;11;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;13;TNAHD4;105;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;8;JEGRCL;13;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;7;JEGRCL;12;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;6;JEGRCL;11;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;5;JEGRCL;105;1;19/10/2023 07:15;43157;Operator_4
C0000002            ;124391;66;8N10W9;105;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;65;8N10W9;10;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;64;8N10W9;95;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;61;RAUDQ6;105;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;60;RAUDQ6;10;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;54;J3FI7N;105;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;53;J3FI7N;10;1;19/10/2023 07:15;43156;Operator_1
