node_id,x_m,y_m,location_count,pick_tasks,pick_units,task_share,unit_share
AISLE:x=2.180000:y=0.610000,2.18,0.61,4,0,0.0,0.0,0.0
AISLE:x=2.180000:y=1.510000,2.18,1.51,4,0,0.0,0.0,0.0
AISLE:x=2.180000:y=10.210000,2.18,10.21,4,8,8.0,0.004008016032064128,0.004008016032064128
AISLE:x=2.180000:y=11.110000,2.18,11.11,4,16,16.0,0.008016032064128256,0.008016032064128256
AISLE:x=2.180000:y=12.010000,2.18,12.01,4,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=2.180000:y=12.910000,2.18,12.91,4,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=2.180000:y=13.810000,2.18,13.81,4,0,0.0,0.0,0.0
AISLE:x=2.180000:y=14.710000,2.18,14.71,2,0,0.0,0.0,0.0
AISLE:x=2.180000:y=2.410000,2.18,2.41,4,0,0.0,0.0,0.0
AISLE:x=2.180000:y=3.310000,2.18,3.31,4,0,0.0,0.0,0.0
AISLE:x=2.180000:y=4.210000,2.18,4.21,4,0,0.0,0.0,0.0
AISLE:x=2.180000:y=5.110000,2.18,5.11,4,0,0.0,0.0,0.0
AISLE:x=2.180000:y=6.310000,2.18,6.31,4,0,0.0,0.0,0.0
AISLE:x=2.180000:y=7.510000,2.18,7.51,4,5,5.0,0.00250501002004008,0.00250501002004008
AISLE:x=2.180000:y=8.410000,2.18,8.41,4,10,10.0,0.00501002004008016,0.00501002004008016
AISLE:x=2.180000:y=9.310000,2.18,9.31,4,11,11.0,0.005511022044088177,0.005511022044088177
AISLE:x=2.360000:y=-0.290000,2.36,-0.29,2,0,0.0,0.0,0.0
AISLE:x=2.360000:y=0.610000,2.36,0.61,4,0,0.0,0.0,0.0
AISLE:x=2.360000:y=1.510000,2.36,1.51,4,0,0.0,0.0,0.0
AISLE:x=2.360000:y=10.210000,2.36,10.21,4,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=2.360000:y=11.110000,2.36,11.11,4,12,12.0,0.006012024048096192,0.006012024048096192
AISLE:x=2.360000:y=12.010000,2.36,12.01,4,0,0.0,0.0,0.0
AISLE:x=2.360000:y=12.910000,2.36,12.91,4,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=2.360000:y=13.810000,2.36,13.81,4,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=2.360000:y=14.710000,2.36,14.71,2,0,0.0,0.0,0.0
AISLE:x=2.360000:y=2.410000,2.36,2.41,4,0,0.0,0.0,0.0
AISLE:x=2.360000:y=3.310000,2.36,3.31,4,0,0.0,0.0,0.0
AISLE:x=2.360000:y=4.210000,2.36,4.21,4,0,0.0,0.0,0.0
AISLE:x=2.360000:y=5.110000,2.36,5.11,4,0,0.0,0.0,0.0
AISLE:x=2.360000:y=6.310000,2.36,6.31,4,0,0.0,0.0,0.0
AISLE:x=2.360000:y=7.510000,2.36,7.51,4,5,5.0,0.00250501002004008,0.00250501002004008
AISLE:x=2.360000:y=8.410000,2.36,8.41,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=2.360000:y=9.310000,2.36,9.31,4,14,14.0,0.0070140280561122245,0.0070140280561122245
AISLE:x=2.520000:y=-0.290000,2.52,-0.29,4,0,0.0,0.0,0.0
AISLE:x=2.520000:y=0.610000,2.52,0.61,8,0,0.0,0.0,0.0
AISLE:x=2.520000:y=1.510000,2.52,1.51,8,0,0.0,0.0,0.0
AISLE:x=2.520000:y=10.210000,2.52,10.21,8,20,20.0,0.01002004008016032,0.01002004008016032
AISLE:x=2.520000:y=11.110000,2.52,11.11,8,13,13.0,0.006513026052104208,0.006513026052104208
AISLE:x=2.520000:y=12.010000,2.52,12.01,8,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=2.520000:y=12.910000,2.52,12.91,8,6,6.0,0.003006012024048096,0.003006012024048096
AISLE:x=2.520000:y=13.810000,2.52,13.81,8,0,0.0,0.0,0.0
AISLE:x=2.520000:y=14.710000,2.52,14.71,4,0,0.0,0.0,0.0
AISLE:x=2.520000:y=2.410000,2.52,2.41,8,0,0.0,0.0,0.0
AISLE:x=2.520000:y=3.310000,2.52,3.31,8,0,0.0,0.0,0.0
AISLE:x=2.520000:y=4.210000,2.52,4.21,8,0,0.0,0.0,0.0
AISLE:x=2.520000:y=5.110000,2.52,5.11,8,0,0.0,0.0,0.0
AISLE:x=2.520000:y=6.310000,2.52,6.31,8,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=2.520000:y=7.510000,2.52,7.51,8,6,6.0,0.003006012024048096,0.003006012024048096
AISLE:x=2.520000:y=8.410000,2.52,8.41,8,0,0.0,0.0,0.0
AISLE:x=2.520000:y=9.310000,2.52,9.31,8,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=2.680000:y=-0.290000,2.68,-0.29,2,0,0.0,0.0,0.0
AISLE:x=2.680000:y=0.610000,2.68,0.61,4,0,0.0,0.0,0.0
AISLE:x=2.680000:y=1.510000,2.68,1.51,4,0,0.0,0.0,0.0
AISLE:x=2.680000:y=10.210000,2.68,10.21,4,35,35.0,0.01753507014028056,0.01753507014028056
AISLE:x=2.680000:y=11.110000,2.68,11.11,4,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=2.680000:y=12.010000,2.68,12.01,4,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=2.680000:y=12.910000,2.68,12.91,4,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=2.680000:y=13.810000,2.68,13.81,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=2.680000:y=14.710000,2.68,14.71,2,0,0.0,0.0,0.0
AISLE:x=2.680000:y=2.410000,2.68,2.41,4,0,0.0,0.0,0.0
AISLE:x=2.680000:y=3.310000,2.68,3.31,4,0,0.0,0.0,0.0
AISLE:x=2.680000:y=4.210000,2.68,4.21,4,0,0.0,0.0,0.0
AISLE:x=2.680000:y=5.110000,2.68,5.11,4,0,0.0,0.0,0.0
AISLE:x=2.680000:y=6.310000,2.68,6.31,4,0,0.0,0.0,0.0
AISLE:x=2.680000:y=7.510000,2.68,7.51,4,7,7.0,0.0035070140280561123,0.0035070140280561123
AISLE:x=2.680000:y=8.410000,2.68,8.41,4,8,8.0,0.004008016032064128,0.004008016032064128
AISLE:x=2.680000:y=9.310000,2.68,9.31,4,14,14.0,0.0070140280561122245,0.0070140280561122245
AISLE:x=2.860000:y=-0.290000,2.86,-0.29,2,0,0.0,0.0,0.0
AISLE:x=2.860000:y=0.610000,2.86,0.61,4,0,0.0,0.0,0.0
AISLE:x=2.860000:y=1.510000,2.86,1.51,4,0,0.0,0.0,0.0
AISLE:x=2.860000:y=10.210000,2.86,10.21,4,32,32.0,0.01603206412825651,0.01603206412825651
AISLE:x=2.860000:y=11.110000,2.86,11.11,4,2,2.0,0.001002004008016032,0.001002004008016032
