resource_kind,resource_id,conflicts,affected_workers,total_wait_seconds,mean_wait_seconds,max_wait_seconds
pick_node,AISLE:x=12.700000:y=35.077400,1,1,1.8626666666666551,1.8626666666666551,1.8626666666666551
pick_node,AISLE:x=15.240000:y=28.219400,2,2,5.523333333307164,2.761666666653582,3.0
pick_node,AISLE:x=16.510000:y=28.219400,4,3,8.665499999999383,2.166374999999846,3.0
pick_node,AISLE:x=2.997200:y=23.647400,2,2,4.568999999966763,2.2844999999833817,3.0
pick_node,AISLE:x=4.724400:y=23.647400,1,1,0.717000000000013,0.717000000000013,0.717000000000013
pick_node,AISLE:x=5.130800:y=23.647400,2,2,5.599333333333348,2.799666666666674,3.0
pick_node,AISLE:x=5.994400:y=28.219400,1,1,2.2591666666666725,2.2591666666666725,2.2591666666666725
pick_node,AISLE:x=6.807200:y=25.933400,4,2,9.031333333372459,2.2578333333431146,3.0
pick_node,AISLE:x=7.670800:y=30.505400,4,2,10.334666666666749,2.583666666666687,3.0
pick_node,AISLE:x=8.077200:y=21.361400,1,1,1.0523333333336495,1.0523333333336495,1.0523333333336495
pick_node,AISLE:x=8.940800:y=30.505400,1,1,0.234000000001231,0.234000000001231,0.234000000001231
pick_node,AISLE:x=9.347200:y=30.505400,1,1,0.13533333333330688,0.13533333333330688,0.13533333333330688
