wave_number,operator,released_at_seconds,started_at_seconds,finished_at_seconds,release_delay_seconds,pick_tasks
33197,Operator_19,60.0,613.4666666666626,736.6499999999957,553.4666666666626,24
33193,Operator_02,60.0,634.1833333333306,761.3833333333283,574.1833333333306,24
33204,Operator_14,60.0,637.1833333333306,764.3833333333283,577.1833333333306,24
33217,Operator_17,120.0,667.833333333329,770.3833333333283,547.833333333329,20
33203,Operator_19,60.0,736.6499999999957,859.0999999999937,676.6499999999957,24
33205,Operator_02,60.0,761.3833333333283,873.5666666666596,701.3833333333283,24
33209,Operator_14,120.0,764.3833333333283,876.8166666666601,644.3833333333283,24
33211,Operator_19,120.0,859.0999999999937,956.6833333333265,739.0999999999937,24
33212,Operator_02,120.0,873.5666666666596,989.6166666666596,753.5666666666596,24
33214,Operator_14,120.0,876.8166666666601,990.6166666666596,756.8166666666601,24
33220,Operator_18,14400.0,14400.0,14502.649999999969,0.0,19
33221,Operator_02,14400.0,14400.0,14517.433333333309,0.0,24
33222,Operator_19,14400.0,14400.0,14520.433333333309,0.0,24
33226,Operator_17,14400.0,14400.0,14516.683333333309,0.0,24
33229,Operator_14,14400.0,14400.0,14513.683333333309,0.0,24
33228,Operator_18,14400.0,14502.649999999969,14616.049999999948,102.64999999996871,24
33233,Operator_14,14400.0,14513.683333333309,14638.433333333283,113.68333333330884,24
33227,Operator_17,14400.0,14516.683333333309,14636.933333333283,116.68333333330884,24
33225,Operator_02,14400.0,14517.433333333309,14644.433333333283,117.43333333330884,24
33223,Operator_19,14400.0,14520.433333333309,14633.549999999948,120.43333333330884,24
33230,Operator_18,14400.0,14616.049999999948,14724.849999999922,216.04999999994834,24
33231,Operator_19,14400.0,14633.549999999948,14738.383333333262,233.54999999994834,24
33237,Operator_14,14400.0,14638.433333333283,14756.416666666591,238.43333333328337,24
33234,Operator_02,14400.0,14644.433333333283,14765.43333333325,244.43333333328337,24
33235,Operator_18,14400.0,14724.849999999922,14849.849999999886,324.84999999992215,24
33232,Operator_19,14400.0,14738.383333333262,14851.649999999907,338.38333333326227,24
33240,Operator_14,14400.0,14756.416666666591,14856.149999999907,356.4166666665915,24
33238,Operator_02,14400.0,14765.43333333325,14900.283333333213,365.43333333325063,26
33239,Operator_18,14400.0,14849.849999999886,14956.04999999989,449.84999999988577,24
33236,Operator_19,14400.0,14851.649999999907,14979.283333333202,451.64999999990687,24
33242,Operator_14,14400.0,14856.149999999907,14980.783333333202,456.14999999990687,24
33245,Operator_02,14400.0,14900.283333333213,15003.349999999882,500.2833333332128,22
33244,Operator_18,14400.0,14956.04999999989,15054.316666666547,556.0499999998901,24
33241,Operator_19,14400.0,14979.283333333202,15099.216666666518,579.2833333332019,24
33247,Operator_14,14400.0,14980.783333333202,15091.716666666518,580.7833333332019,24
33248,Operator_02,14400.0,15003.349999999882,15112.366666666509,603.3499999998821,24
33246,Operator_18,14400.0,15054.316666666547,15184.933333333172,654.3166666665475,24
33251,Operator_14,14400.0,15091.716666666518,15193.933333333172,691.716666666518,24
33243,Operator_19,14400.0,15099.216666666518,15223.149999999823,699.216666666518,24
33250,Operator_02,14400.0,15112.366666666509,15221.649999999823,712.3666666665085,24
33252,Operator_18,14400.0,15184.933333333172,15300.833333333154,784.9333333331724,24
33253,Operator_02,14400.0,15221.649999999823,15331.49999999982,821.6499999998232,24
33249,Operator_19,14400.0,15223.149999999823,15347.49999999982,823.1499999998232,24
33257,Operator_18,14400.0,15300.833333333154,15404.53333333314,900.8333333331539,24
33254,Operator_02,14400.0,15331.49999999982,15439.749999999802,931.4999999998199,24
33262,Operator_19,14400.0,15347.49999999982,15433.483333333117,947.4999999998199,12
33259,Operator_18,14400.0,15404.53333333314,15521.366666666447,1004.53333333314,24
33255,Operator_02,14400.0,15439.749999999802,15539.966666666458,1039.7499999998017,24
33256,Operator_02,14400.0,15539.966666666458,15643.949999999777,1139.966666666458,24
33258,Operator_02,14400.0,15643.949999999777,15738.066666666431,1243.949999999777,21
