cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers
EDGE:AISLE:x=15.240000:y=23.647400<->AISLE:x=15.646400:y=23.647400,edge,6,4,2.0319999999994707,2.0319999999994707,0.0,0.0,2.0319999999994707,0.0,1
EDGE:AISLE:x=15.240000:y=25.933400<->AISLE:x=15.646400:y=25.933400,edge,11,6,3.725333333332401,3.725333333332401,0.0,0.0,3.725333333332401,0.0,1
EDGE:AISLE:x=15.240000:y=28.219400<->AISLE:x=15.646400:y=28.219400,edge,87,8,29.4639999999947,29.4639999999947,0.0,0.0,29.4639999999947,0.0,1
EDGE:AISLE:x=15.240000:y=30.505400<->AISLE:x=15.646400:y=30.505400,edge,12,3,4.063999999999538,4.063999999999538,0.0,0.0,4.063999999999538,0.0,1
EDGE:AISLE:x=15.240000:y=32.791400<->AISLE:x=15.646400:y=32.791400,edge,9,6,3.0479999999993197,3.0479999999993197,0.0,0.0,3.0479999999993197,0.0,1
EDGE:AISLE:x=15.240000:y=35.077400<->AISLE:x=15.646400:y=35.077400,edge,9,4,3.047999999999675,3.047999999999675,0.0,0.0,3.047999999999675,0.0,1
EDGE:AISLE:x=15.240000:y=37.363400<->AISLE:x=15.646400:y=37.363400,edge,3,2,1.0159999999997495,1.0159999999997495,0.0,0.0,1.0159999999997495,0.0,1
EDGE:AISLE:x=15.646400:y=16.027400<->AISLE:x=16.103600:y=16.027400,edge,6,2,2.2859999999999445,2.2859999999999445,0.0,0.0,2.2859999999999445,0.0,1
EDGE:AISLE:x=15.646400:y=19.075400<->AISLE:x=16.103600:y=19.075400,edge,31,6,11.810999999988582,11.810999999988582,0.0,0.0,11.810999999988582,0.0,1
EDGE:AISLE:x=15.646400:y=21.361400<->AISLE:x=16.103600:y=21.361400,edge,22,7,8.381999999991677,8.381999999991677,0.0,0.0,8.381999999991677,0.0,1
EDGE:AISLE:x=15.646400:y=23.647400<->AISLE:x=16.103600:y=23.647400,edge,6,4,2.285999999997557,2.285999999997557,0.0,0.0,2.285999999997557,0.0,1
EDGE:AISLE:x=15.646400:y=25.933400<->AISLE:x=16.103600:y=25.933400,edge,15,6,5.714999999994632,5.714999999994632,0.0,0.0,5.714999999994632,0.0,1
EDGE:AISLE:x=15.646400:y=28.219400<->AISLE:x=16.103600:y=28.219400,edge,73,8,27.81299999997657,27.81299999997657,0.0,0.0,27.81299999997657,0.0,1
EDGE:AISLE:x=15.646400:y=30.505400<->AISLE:x=16.103600:y=30.505400,edge,8,2,3.047999999998126,3.047999999998126,0.0,0.0,3.047999999998126,0.0,1
EDGE:AISLE:x=15.646400:y=32.791400<->AISLE:x=16.103600:y=32.791400,edge,5,4,1.9049999999993474,1.9049999999993474,0.0,0.0,1.9049999999993474,0.0,1
EDGE:AISLE:x=15.646400:y=35.077400<->AISLE:x=16.103600:y=35.077400,edge,9,4,3.428999999998723,3.428999999998723,0.0,0.0,3.428999999998723,0.0,1
EDGE:AISLE:x=15.646400:y=37.363400<->AISLE:x=16.103600:y=37.363400,edge,3,2,1.142999999998807,1.142999999998807,0.0,0.0,1.142999999998807,0.0,1
EDGE:AISLE:x=16.103600:y=16.027400<->AISLE:x=16.510000:y=16.027400,edge,4,2,1.3546666666666596,1.3546666666666596,0.0,0.0,1.3546666666666596,0.0,1
EDGE:AISLE:x=16.103600:y=19.075400<->AISLE:x=16.510000:y=19.075400,edge,31,6,10.498666666664462,10.498666666664462,0.0,0.0,10.498666666664462,0.0,1
EDGE:AISLE:x=16.103600:y=21.361400<->AISLE:x=16.510000:y=21.361400,edge,22,7,7.450666666664915,7.450666666664915,0.0,0.0,7.450666666664915,0.0,1
EDGE:AISLE:x=16.103600:y=23.647400<->AISLE:x=16.510000:y=23.647400,edge,8,5,2.709333333332779,2.709333333332779,0.0,0.0,2.709333333332779,0.0,1
EDGE:AISLE:x=16.103600:y=25.933400<->AISLE:x=16.510000:y=25.933400,edge,15,6,5.07999999999879,5.07999999999879,0.0,0.0,5.07999999999879,0.0,1
EDGE:AISLE:x=16.103600:y=28.219400<->AISLE:x=16.510000:y=28.219400,edge,61,8,20.658666666662292,20.658666666662292,0.0,0.0,20.658666666662292,0.0,1
EDGE:AISLE:x=16.103600:y=30.505400<->AISLE:x=16.510000:y=30.505400,edge,4,2,1.3546666666662759,1.3546666666662759,0.0,0.0,1.3546666666662759,0.0,1
EDGE:AISLE:x=16.103600:y=32.791400<->AISLE:x=16.510000:y=32.791400,edge,3,3,1.015999999999849,1.015999999999849,0.0,0.0,1.015999999999849,0.0,1
EDGE:AISLE:x=16.103600:y=35.077400<->AISLE:x=16.510000:y=35.077400,edge,9,4,3.047999999999675,3.047999999999675,0.0,0.0,3.047999999999675,0.0,1
EDGE:AISLE:x=16.103600:y=37.363400<->AISLE:x=16.510000:y=37.363400,edge,3,2,1.0159999999997495,1.0159999999997495,0.0,0.0,1.0159999999997495,0.0,1
EDGE:AISLE:x=16.510000:y=16.027400<->AISLE:x=16.916400:y=16.027400,edge,2,1,0.677333333333336,0.677333333333336,0.0,0.0,0.677333333333336,0.0,1
